player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Assan Ouédraogo,de GER,MF,RB Leipzig,19,GER-Bundesliga,948,4,3,0,0,6,3,4,13,,,
Salih Özcan,tr TUR,MF,Dortmund,27,GER-Bundesliga,81,0,0,0,0,2,0,2,0,,,
Cenk Özkacar,tr TUR,DF,Köln,24,GER-Bundesliga,1791,0,0,2,0,26,24,3,4,,,
Exequiel Palacios,ar ARG,MF,Leverkusen,26,GER-Bundesliga,1099,0,1,3,0,9,10,2,2,,,
Leart Paqarada,xk KVX,DF,Heidenheim,30,GER-Bundesliga,6,0,0,0,0,0,0,0,0,,,
Kevin Paredes,us USA,MF,Wolfsburg,22,GER-Bundesliga,164,0,0,1,0,3,2,7,1,,,
Aleksandar Pavlovic,de GER,MF,Bayern Munich,21,GER-Bundesliga,1462,3,1,2,0,15,13,15,5,,,
Mads Pedersen,dk DEN,MF,Augsburg,28,GER-Bundesliga,210,0,0,0,0,2,1,11,0,,,
Dženan Pejčinović,de GER,FW,Wolfsburg,20,GER-Bundesliga,1460,8,0,1,0,9,5,5,23,,,
Mathias Pereira Lage,pt POR,"MF,FW",St Pauli,28,GER-Bundesliga,2018,2,2,3,0,23,16,58,15,,,
Immanuel Pherai,sr SUR,"FW,MF",Hamburger SV,24,GER-Bundesliga,35,0,0,2,1,1,0,4,0,,,
Maximilian Philipp,de GER,"FW,MF",Freiburg,31,GER-Bundesliga,29,0,0,0,0,1,0,0,0,,,
Rayan Philippe,fr FRA,"FW,MF",Hamburger SV,24,GER-Bundesliga,1285,5,0,2,0,13,3,31,16,,,
Amos Pieper,de GER,DF,Werder Bremen,27,GER-Bundesliga,1502,0,0,4,0,24,26,8,2,,,
Marvin Pieringer,de GER,"FW,MF",Heidenheim,25,GER-Bundesliga,1650,4,1,2,0,14,11,20,8,,,
Ernest Poku,nl NED,MF,Leverkusen,21,GER-Bundesliga,1482,5,5,0,0,9,8,13,9,,,
Stefan Posch,at AUT,DF,Mainz 05,28,GER-Bundesliga,1395,0,0,4,0,22,21,11,3,,,
Kacper Potulski,pl POL,DF,Mainz 05,17,GER-Bundesliga,1065,1,0,3,0,15,19,2,5,,,
