Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Adam Smith,ENG,DF,34.0,Bournemouth,ENG-Premier League,1077,11.97,0,2,0.0,0.17,0,13,12,10,3,0,0.0,0.0,0.0,100,70,38.0,55.62,Zor
Adam Wharton,ENG,MF,21.0,Crystal Palace,ENG-Premier League,2552,28.36,1,5,0.04,0.18,6,86,36,27,6,1,0.0,0.0,0.0,100,70,38.0,64.67,Zor
Adama Camara,FRA,"MF,DF",28.0,Paris FC,FRA-Ligue 1,2159,23.99,1,0,0.04,0.0,5,14,30,38,8,0,0.0,0.0,0.0,85,40,34.0,36.47,Zor
Adama Traoré,MLI,"MF,FW",30.0,Gençlerbirliği,TUR-Super Lig,1070,11.89,2,1,0.17,0.08,6,11,7,4,4,0,0.0,0.0,0.0,90,40,34.0,32.2,Zor
Adem Arous,TUN,DF,21.0,Kasımpaşa,TUR-Super Lig,1670,18.56,1,0,0.05,0.0,1,4,22,24,2,0,0.0,0.0,0.0,90,40,34.0,34.55,Zor
Ademola Lookman,NGA,"FW,MF",27.0,Atalanta,ESP-La Liga,1412,15.69,6,0,0.38,0.0,13,33,6,4,1,0,0.0,0.0,0.0,95,75,38.0,61.79,Zor
Adil Demirbağ,TUR,DF,27.0,Konyaspor,TUR-Super Lig,2085,23.17,2,2,0.09,0.09,2,7,20,36,10,0,0.0,0.0,0.0,90,40,34.0,36.18,Zor
Adrian Beck,GER,MF,28.0,Heidenheim,GER-Bundesliga,868,9.64,1,1,0.1,0.1,4,15,17,3,1,0,0.0,0.0,0.0,90,40,34.0,31.4,Zor
Adrian Benedyczak,POL,FW,24.0,Kasımpaşa,ITA-Serie A,1645,18.28,11,2,0.6,0.11,21,21,15,5,2,0,0.0,0.0,0.0,90,40,48.28,32.54,Zor
Adrian Bernabe,ESP,MF,24.0,Parma,ITA-Serie A,2470,27.44,3,1,0.11,0.04,12,81,23,17,0,0,0.0,0.0,0.0,90,40,48.28,34.82,Zor
Adrian Šemper,CRO,GK,27.0,Pisa,ITA-Serie A,2250,25.0,0,0,0.0,0.0,0,0,0,0,0,0,82.0,4.0,42.0,90,40,48.28,34.21,Zor
